"Seqs"	"Plate"	"Pos"	"Plate.1"	"Colunm"	"Row"	"PlatePos"	"ID"	"Compartment"	"Specie2"	"Subsample"	"Specie"	"Cluster"
53847	"P2"	"bc73"	3	10	"A"	"A10"	"R141"	"Root"	"Londoltia_Punctata_0049"	1	"LP0049"	"2"
33778	"P2"	"bc74"	3	10	"B"	"B10"	"W131"	"Water"	"Spirodela_polyrhiza_9192"	1	"SP9192"	"1"
17312	"P2"	"bc75"	3	10	"C"	"C10"	"L198"	"Front"	"Pistia_Stratiotes"	3	"PS"	"PS"
29904	"P2"	"bc76"	3	10	"D"	"D10"	"R119"	"Root"	"Spirodela_polyrhiza_9509"	4	"SP9509"	"1"
27849	"P2"	"bc77"	3	10	"E"	"E10"	"R130"	"Root"	"Spirodela_polyrhiza_7498"	5	"SP7498"	"1"
16746	"P2"	"bc78"	3	10	"F"	"F10"	"L107"	"Front"	"Spirodela_Intermedia_7820"	2	"SI7820"	"1"
21781	"P2"	"bc79"	3	10	"G"	"G10"	"Inom4"	"Inoculum"	"Inoculum"	3	"Inoculum"	"Inoculum"
42641	"P2"	"bc7"	3	1	"G"	"G1"	"W110"	"Water"	"Spirodela_Intermedia_7820"	5	"SI7820"	"1"
23180	"P2"	"bc80"	3	10	"H"	"H10"	"W116"	"Water"	"Spirodela_polyrhiza_9509"	1	"SP9509"	"1"
57667	"P2"	"bc81"	3	11	"A"	"A11"	"L156"	"Front"	"Lemna_Minor_7123"	1	"LM7123"	"2"
29968	"P2"	"bc82"	3	11	"B"	"B11"	"R193"	"Root"	"Lemna_Tenera_9243"	3	"LT9243"	"3"
17548	"P2"	"bc83"	3	11	"C"	"C11"	"L188"	"Front"	"Lemna_Perpusilla_8539"	3	"LP8539"	"3"
38933	"P2"	"bc84"	3	11	"D"	"D11"	"W162"	"Water"	"Lemna_Minor_8389"	1	"LM8389"	"2"
35219	"P2"	"bc85"	3	11	"E"	"E11"	"W182"	"Water"	"Lemna_Aequinoctialis_7339"	1	"LA7339"	"3"
25632	"P2"	"bc86"	3	11	"F"	"F11"	"W165"	"Water"	"Lemna_Minor_8389"	4	"LM8389"	"2"
33534	"P2"	"bc87"	3	11	"G"	"G11"	"W186"	"Water"	"Lemna_Aequinoctialis_7339"	5	"LA7339"	"3"
22226	"P2"	"bc88"	3	11	"H"	"H11"	"W102"	"Water"	"Control"	2	"Control"	"Control"
67898	"P2"	"bc89"	3	12	"A"	"A12"	"R106"	"Root"	"Spirodela_Intermedia_7820"	1	"SI7820"	"1"
39319	"P2"	"bc8"	3	1	"H"	"H1"	"L137"	"Front"	"Londoltia_Punctata_7760"	2	"LP7760"	"2"
23357	"P2"	"bc91"	3	12	"C"	"C12"	"L189"	"Front"	"Lemna_Perpusilla_8539"	4	"LP8539"	"3"
12647	"P2"	"bc92"	3	12	"D"	"D12"	"R196"	"Root"	"Pistia_Stratiotes"	1	"PS"	"PS"
37525	"P2"	"bc93"	3	12	"E"	"E12"	"W132"	"Water"	"Spirodela_polyrhiza_9192"	2	"SP9192"	"1"
39260	"P2"	"bc94"	3	12	"F"	"F12"	"R186"	"Root"	"Lemna_Perpusilla_8539"	1	"LP8539"	"3"
38577	"P2"	"bc95"	3	12	"G"	"G12"	"W126"	"Water"	"Spirodela_polyrhiza_7498"	1	"SP7498"	"1"
3967	"P2"	"bc96"	3	12	"H"	"H12"	"BLANK"	"BLANK"	"BLANK"	3	"BLANK"	"BLANK"
30056	"P2"	"bc9"	3	2	"A"	"A2"	"R190"	"Root"	"Lemna_Perpusilla_8539"	5	"LP8539"	"3"
52829	"P4"	"bc11"	4	2	"C"	"C2"	"W161"	"Water"	"Lemna_Minor_7123"	5	"LM7123"	"2"
36967	"P4"	"bc12"	4	2	"D"	"D2"	"R109"	"Root"	"Spirodela_Intermedia_7820"	4	"SI7820"	"1"
53270	"P4"	"bc13"	4	2	"E"	"E2"	"W180"	"Water"	"Lemna_Minuta_7200"	4	"LM7200"	"3"
23	"P4"	"bc14"	4	2	"F"	"F2"	"R133"	"Root"	"Spirodela_polyrhiza_9192"	3	"SP9192"	"1"
25156	"P4"	"bc15"	4	2	"G"	"G2"	"L143"	"Front"	"Londoltia_Punctata_0049"	2	"LP0049"	"2"
23608	"P4"	"bc16"	4	2	"H"	"H2"	"L140"	"Front"	"Londoltia_Punctata_7760"	5	"LP7760"	"2"
19374	"P4"	"bc17"	4	3	"A"	"A3"	"W189"	"Water"	"Lemna_Perpusilla_8539"	4	"LP8539"	"3"
6319	"P4"	"bc18"	4	3	"B"	"B3"	"Inom5"	"Inoculum"	"Inoculum"	4	"Inoculum"	"Inoculum"
24604	"P4"	"bc19"	4	3	"C"	"C3"	"W200"	"Water"	"Pistia_Stratiotes"	5	"PS"	"PS"
7281	"P4"	"bc20"	4	3	"D"	"D3"	"BLANK"	"BLANK"	"BLANK"	4	"BLANK"	"BLANK"
12864	"P4"	"bc21"	4	3	"E"	"E3"	"R65_(2)"	"Root"	"Lemna_Minor_8389"	1	"LM8389"	"2"
1516	"P4"	"bc22"	4	3	"F"	"F3"	"W146_(2)"	"Water"	"Lemna_Turionifera_9109"	2	"LT9109"	"2"
36909	"P4"	"bc23"	4	3	"G"	"G3"	"R117_(2)"	"Root"	"Spirodela_polyrhiza_9509"	2	"SP9509"	"1"
23412	"P4"	"bc9"	4	2	"A"	"A2"	"R153"	"Root"	"Lemna_Japonica_9250"	3	"LJ9250"	"2"
